ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
ZURA,Zura Bio Limited Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001855644,BBG01KRQ46P2,BBG01KRQ47K5,2026-03-29T06:06:43.599035922Z
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,BBG000C2V3D6,BBG001SCTQY4,2026-03-30T06:07:27.704630876Z
AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,0001675149,BBG00B3T3HD3,BBG00B3T3HF1,2026-03-30T06:07:27.704631697Z
AAA,Alternative Access First Priority CLO Bond ETF,stocks,us,ARCX,ETF,True,usd,0001776878,BBG01B0JRCS6,BBG01B0JRCT5,2026-03-30T06:07:27.704632028Z
AAAA,Amplius Aggressive Asset Allocation ETF,stocks,us,BATS,ETF,True,usd,,BBG01W275XX6,BBG01W275ZB5,2026-03-30T06:07:27.704632319Z
AAAC,Columbia AAA CLO ETF,stocks,us,ARCX,ETF,True,usd,0001551950,BBG01YZNRVY0,BBG01YZNRWV1,2026-03-30T06:07:27.704632399Z
AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,True,usd,0001708646,BBG00LPXX872,BBG00LPXX8Z1,2026-03-30T06:07:27.704632479Z
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002034334,,,2026-03-30T06:07:27.704632569Z
AACBR,Artius II Acquisition Inc. Rights,stocks,us,XNAS,RIGHT,True,usd,0002034334,,,2026-03-30T06:07:27.704632649Z
AACBU,Artius II Acquisition Inc. Units,stocks,us,XNAS,UNIT,True,usd,0002034334,,,2026-03-30T06:07:27.70463285Z
AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001420529,BBG000V2S3P6,BBG001T125S9,2026-03-30T06:07:27.7046332Z
AACI,Armada Acquisition Corp. III Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0002092897,,,2026-03-30T06:07:27.704633281Z
AACIU,Armada Acquisition Corp. III Units,stocks,us,XNAS,UNIT,True,usd,0002092897,,,2026-03-30T06:07:27.704633621Z
AACIW,Armada Acquisition Corp. III Warrant,stocks,us,XNAS,WARRANT,True,usd,0002092897,,,2026-03-30T06:07:27.704633701Z
AACOU,Abony Acquisition Corp. I Units,stocks,us,XNAS,UNIT,True,usd,0002099906,,,2026-03-30T06:07:27.704633781Z
AACPU,Apogee Acquisition Corp Units,stocks,us,XNAS,UNIT,True,usd,0002102123,,,2026-03-30T06:07:27.704633862Z
AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,True,usd,0001408970,BBG000BDYRW6,BBG001T9B1Y4,2026-03-30T06:07:27.704633942Z
